ActivityID,ActivityName,Activity Description,Learning Outcomes/Competencies,Graded Description Grade 1,Graded Description Grade 2,Graded Description Grade 3,Graded Description Grade 4,Graded Description Grade 5
43,Word Matching,Recognize and read simple Hindi words and sentences.,Reading,Student is unable to match words to pictures,Student matches a few words with help,Student matches most words with minimal help,Student matches all words independently,Student matches all words independently and reads them aloud.
44,Letter Tracing,Develop basic writing skills in Hindi.,Writing,Student struggles with tracing and requires continuous assistance,Student traces a few letters with help,Student traces most letters with minimal help,Student traces all letters independently,Student traces all letters independently and writes a few letters without tracing.
45,Sentence Construction,Develop basic writing skills in Hindi.,Writing,Student is unable to construct sentences,Student constructs a sentence with significant help,Student constructs a few sentences with minimal help,Student constructs sentences independently,Student constructs sentences independently and creates additional sentences.
46,Counting Objects,Understand numbers and their relationships in mathematics.,Number Sense and Numeration,Student is unable to count objects,Student counts a few objects with help,Student counts most objects with minimal help,Student counts all objects independently,Student counts all objects independently and identifies the number without counting.
47,Number Line Game,Understand numbers and their relationships in mathematics.,Number Sense and Numeration,Student is unable to place numbers in order,Student places a few numbers with help,Student places most numbers with minimal help,Student places all numbers independently,Student places all numbers independently and explains the sequence.
48,Addition with Objects,Begin to understand and perform basic arithmetic operations in mathematics.,Basic Operations,Student is unable to add numbers,Student adds a few numbers with help,Student adds most numbers with minimal help,Student adds all numbers independently,Student adds all numbers independently and solves additional problems.
49,Subtraction with Objects,Begin to understand and perform basic arithmetic operations in mathematics.,Basic Operations,Student is unable to subtract numbers,Student subtracts a few numbers with help,Student subtracts most numbers with minimal help,Student subtracts all numbers independently,Student subtracts all numbers independently and solves additional problems.
50,Shape Sorting,Recognize and understand basic shapes and spatial relationships in mathematics.,Shapes and Spatial Understanding,Student is unable to sort shapes,Student sorts a few shapes with help,Student sorts most shapes with minimal help,Student sorts all shapes independently,Student sorts all shapes independently and identifies properties of the shapes.
51,Position Words Game,Recognize and understand basic shapes and spatial relationships in mathematics.,Shapes and Spatial Understanding,Student is unable to follow position words,Student follows a few position words with help,Student follows most position words with minimal help,Student follows all position words independently,Student follows all position words independently and uses additional position words.
52,Nature Walk,To observe and identify different types of plants and animals in environmental studies.,Environmental Studies (EVS),(Needs Improvement): Can identify less than 3 plants or animals and provides minimal descriptions,(Fair): Can identify 3-5 plants or animals and provides basic descriptions,(Good): Can identify 5-7 plants or animals and provides clear descriptions of their characteristics,"(Very Good): Can identify 8-10 plants or animals, provides detailed descriptions, and shows curiosity about their environment","(Excellent): Can identify more than 10 plants or animals, provides comprehensive descriptions, and connects observations to broader environmental concepts."
53,Recycling Craft,To create art from recycled materials.,Environmental Studies (EVS),(Needs Improvement): Creates a basic craft with limited creativity and understanding of recycling,(Fair): Creates a craft with some creativity and demonstrates a basic understanding of recycling principles,(Good): Creates a visually appealing craft and shows a moderate understanding of recycling and its benefits,"(Very Good): Creates a creative and functional craft, demonstrating a good understanding of recycling and its environmental impact","(Excellent): Creates an innovative and highly functional craft, shows a thorough understanding of recycling, and articulates its importance effectively."
54,Sorting Waste,"To sort waste into categories like recyclable, compostable, and non-recyclable.",Environmental Studies (EVS),(Needs Improvement): Shows limited ability to sort waste correctly and understands basic categories only,(Fair): Sorts waste into broad categories and demonstrates a basic understanding of their disposal,(Good): Sorts waste accurately into specific categories and shows a moderate understanding of proper disposal methods,"(Very Good): Sorts waste correctly into all categories, demonstrates a good understanding of disposal methods, and explains reasons for each category","(Excellent): Sorts waste accurately and efficiently, demonstrates a thorough understanding of disposal methods, and actively promotes waste management practices."
55,Water Conservation Poster,To create a poster showing ways to conserve water.,Environmental Studies (EVS),(Needs Improvement): Shows minimal understanding of water conservation and includes a few basic tips on the poster,(Fair): Demonstrates a basic understanding of water conservation and includes several common water-saving tips on the poster,"(Good): Shows a moderate understanding of water conservation, includes multiple detailed water-saving tips, and the poster is visually appealing","(Very Good): Demonstrates a good understanding of water conservation, includes comprehensive water-saving tips, and the poster is creative and informative","(Excellent): Demonstrates a thorough understanding of water conservation, includes innovative and detailed water-saving tips, and the poster is exceptionally creative, informative, and engaging."
